Facility_ID,Customer_ID,Facility_Name,Facility_Type,City
F0106,C0441,Facility 106,Hospital,Pune
F0107,C0208,Facility 107,Restaurant,Hyderabad
F0108,C0269,Facility 108,Restaurant,Hyderabad
F0109,C0083,Facility 109,Plant,Bengaluru
F0110,C0311,Facility 110,Plant,Delhi
F0111,C0092,Facility 111,Warehouse,Delhi
F0112,C0137,Facility 112,Hotel,Pune
F0113,C0361,Facility 113,Hospital,Mumbai
F0114,C0026,Facility 114,Hotel,Mumbai
F0115,C0224,Facility 115,Hotel,Delhi
F0116,C0298,Facility 116,Hospital,Hyderabad
F0117,C0067,Facility 117,Restaurant,Chennai
F0118,C0148,Facility 118,Warehouse,Chennai
F0119,C0172,Facility 119,Plant,Chennai
F0120,C0332,Facility 120,Plant,Pune
F0121,,Facility 121,Plant,Pune
F0122,C0419,Facility 122,Hotel,Bengaluru
F0123,C0095,Facility 123,Warehouse,Bengaluru
F0124,C0010,Facility 124,Warehouse,Chennai
F0125,C0026,Facility 125,Hotel,Pune
F0126,C0298,Facility 126,Restaurant,Bengaluru
F0127,C0079,Facility 127,Warehouse,Mumbai
F0128,C0116,Facility 128,Restaurant,Mumbai
F0129,C0424,Facility 129,Warehouse,Mumbai
F0130,C0437,Facility 130,Warehouse,Mumbai
F0131,C0420,Facility 131,Restaurant,Hyderabad
F0132,C0127,Facility 132,Hotel,Bengaluru
F0133,C0310,Facility 133,Hospital,Bengaluru
F0134,C0306,Facility 134,Hospital,Bengaluru
F0135,C0093,Facility 135,Restaurant,Chennai
F0136,C0277,Facility 136,Restaurant,Delhi
F0137,C0263,Facility 137,Restaurant,Hyderabad
F0138,C0199,Facility 138,Hotel,Hyderabad
F0139,C0376,Facility 139,Hospital,Chennai
F0140,C0339,Facility 140,Plant,Chennai
F0141,C0267,Facility 141,Hotel,Pune
F0142,C0363,Facility 142,Hospital,Delhi
F0143,C0382,Facility 143,Warehouse,Pune
F0144,C0284,Facility 144,Hotel,Bengaluru
F0145,C0134,Facility 145,Restaurant,Hyderabad
F0146,C0380,Facility 146,Hospital,Bengaluru
F0147,C0359,Facility 147,Hotel,Mumbai
F0148,C0492,Facility 148,Restaurant,Delhi
F0149,C0075,Facility 149,Restaurant,Pune
F0150,C0210,Facility 150,Hotel,Mumbai
F0151,C0463,Facility 151,Hotel,Delhi
F0152,C0258,Facility 152,Hotel,Chennai
F0153,C0472,Facility 153,Plant,Pune
F0154,C0007,Facility 154,Warehouse,Chennai
F0155,C0018,Facility 155,Hotel,Delhi
F0156,C0399,Facility 156,Hospital,Pune
F0157,C0180,Facility 157,Hospital,Bengaluru
F0158,C0261,Facility 158,Hospital,Bengaluru
F0159,C0215,Facility 159,Hospital,Pune
F0160,C0204,Facility 160,Hotel,Mumbai
F0161,C0470,Facility 161,Restaurant,Mumbai
F0162,C0048,Facility 162,Hospital,Mumbai
F0163,C0387,Facility 163,Hospital,Bengaluru
F0164,C0445,Facility 164,Hospital,Bengaluru
F0165,C0329,Facility 165,Warehouse,Mumbai
F0166,C0198,Facility 166,Plant,Mumbai
F0167,C0081,Facility 167,Restaurant,Mumbai
F0168,C0342,Facility 168,Hospital,Chennai
F0169,C0235,Facility 169,Warehouse,Mumbai
F0170,C0075,Facility 170,Warehouse,Delhi
F0171,C0180,Facility 171,Hotel,Hyderabad
F0172,C0481,Facility 172,Warehouse,Chennai
F0173,C0133,Facility 173,Plant,Hyderabad
F0174,C0090,Facility 174,Hotel,Mumbai
F0175,C0341,Facility 175,Plant,Hyderabad
F0176,C0100,Facility 176,Hotel,Mumbai
F0177,C0460,Facility 177,Hotel,Pune
F0178,C0430,Facility 178,Hotel,Mumbai
F0179,C0492,Facility 179,Restaurant,Mumbai
F0180,C0457,Facility 180,Plant,Pune
F0181,C0122,Facility 181,Restaurant,Pune
F0182,C0107,Facility 182,Hotel,Delhi
F0183,C0172,Facility 183,Hotel,Hyderabad
F0184,C0235,Facility 184,Warehouse,Bengaluru
F0185,C0440,Facility 185,Warehouse,Delhi
F0186,C0367,Facility 186,Plant,Mumbai
F0187,C0323,Facility 187,Hotel,Bengaluru
F0188,C0440,Facility 188,Warehouse,Delhi
F0189,C0323,Facility 189,Plant,Hyderabad
F0190,C0190,Facility 190,Restaurant,Bengaluru
F0191,C0207,Facility 191,Hotel,Mumbai
F0192,C0259,Facility 192,Warehouse,Pune
F0193,C0045,Facility 193,Restaurant,Pune
F0194,C0371,Facility 194,Hotel,Pune
F0195,C0327,Facility 195,Hospital,Chennai
F0196,C0366,Facility 196,Restaurant,Hyderabad
F0197,C0267,Facility 197,Hotel,Bengaluru
F0198,C0392,Facility 198,Hospital,Chennai
F0199,C0475,Facility 199,Restaurant,Pune
F0200,C0285,Facility 200,Warehouse,Mumbai
F0201,C0223,Facility 201,Hotel,Bengaluru
F0202,C0053,Facility 202,Restaurant,Delhi
F0203,C0390,Facility 203,Warehouse,Hyderabad
F0204,C0452,Facility 204,Warehouse,Delhi
F0205,C0350,Facility 205,Warehouse,Mumbai
F0206,C0433,Facility 206,Hotel,Delhi
F0207,C0431,Facility 207,Warehouse,Pune
F0208,C0400,Facility 208,Warehouse,Mumbai
F0209,C0252,Facility 209,Hospital,Hyderabad
F0210,C0050,Facility 210,Restaurant,Pune
F0211,C0002,Facility 211,Restaurant,Delhi
F0212,C0103,Facility 212,Restaurant,Delhi
F0213,C0216,Facility 213,Hospital,Hyderabad
F0214,C0372,Facility 214,Warehouse,Mumbai
F0215,C0228,Facility 215,Warehouse,Pune
F0216,C0012,Facility 216,Hospital,Hyderabad
F0217,C0106,Facility 217,Warehouse,Hyderabad
F0218,C0490,Facility 218,Hospital,Chennai
F0219,C0495,Facility 219,Plant,Hyderabad
F0220,C0189,Facility 220,Restaurant,Pune
F0221,C0403,Facility 221,Restaurant,Pune
F0222,C0360,Facility 222,Hotel,Chennai
F0223,C0466,Facility 223,Plant,Pune
F0224,C0444,Facility 224,Hospital,Delhi
F0225,C0315,Facility 225,Hospital,Pune
F0226,C0198,Facility 226,Hotel,Chennai
F0227,C0314,Facility 227,Warehouse,Delhi
F0228,C0160,Facility 228,Hotel,Bengaluru
F0229,C0175,Facility 229,Plant,Pune
F0230,C0305,Facility 230,Warehouse,Delhi
F0231,C0286,Facility 231,Hotel,Mumbai
F0232,C0291,Facility 232,Restaurant,Hyderabad
F0233,C0193,Facility 233,Restaurant,Delhi
F0234,C0205,Facility 234,Hospital,Chennai
F0235,C0006,Facility 235,Plant,Pune
F0236,C0301,Facility 236,Restaurant,Chennai
F0237,C0288,Facility 237,Restaurant,Pune
F0238,C0468,Facility 238,Restaurant,Chennai
F0239,C0253,Facility 239,Warehouse,Hyderabad
F0240,C0234,Facility 240,Plant,Mumbai
F0241,C0034,Facility 241,Hospital,Bengaluru
F0242,C0099,Facility 242,Warehouse,Pune
F0243,C0170,Facility 243,Warehouse,Delhi
F0244,C0189,Facility 244,Warehouse,Mumbai
F0245,C0182,Facility 245,Plant,Mumbai
F0246,C0198,Facility 246,Hospital,Hyderabad
F0247,C0385,Facility 247,Plant,Chennai
F0248,C0066,Facility 248,Hospital,Hyderabad
F0249,C0167,Facility 249,Hospital,Hyderabad
F0250,C0082,Facility 250,Restaurant,Hyderabad
F0251,C0154,Facility 251,Warehouse,Delhi
F0252,C0343,Facility 252,Restaurant,Bengaluru
F0253,C0024,Facility 253,Hospital,Chennai
F0254,C0170,Facility 254,Restaurant,Chennai
F0255,C0012,Facility 255,Hospital,Delhi
F0256,C0478,Facility 256,Plant,Delhi
F0257,C0364,Facility 257,Hospital,Chennai
F0258,C0122,Facility 258,Restaurant,Mumbai
F0259,C0100,Facility 259,Hospital,Chennai
F0260,C0050,Facility 260,Hospital,Chennai
F0261,C0237,Facility 261,Warehouse,Mumbai
F0262,C0377,Facility 262,Hospital,Chennai
F0263,C0293,Facility 263,Hotel,Mumbai
F0264,C0441,Facility 264,Hospital,Hyderabad
F0265,C0172,Facility 265,Restaurant,Chennai
F0266,C0140,Facility 266,Hotel,Mumbai
F0267,C0240,Facility 267,Hospital,Bengaluru
F0268,C0102,Facility 268,Hotel,Chennai
F0269,C0488,Facility 269,Restaurant,Bengaluru
F0270,C0093,Facility 270,Plant,Delhi
F0271,C0240,Facility 271,Warehouse,Pune
F0272,C0262,Facility 272,Hospital,Chennai
F0273,C0029,Facility 273,Warehouse,Chennai
F0274,C0235,Facility 274,Hospital,Delhi
F0275,C0228,Facility 275,Plant,Pune
F0276,C0130,Facility 276,Restaurant,Delhi
F0277,C0064,Facility 277,Plant,Bengaluru
F0278,C0023,Facility 278,Plant,Bengaluru
F0279,C0005,Facility 279,Restaurant,Bengaluru
F0280,C0241,Facility 280,Hospital,Hyderabad
F0281,C0045,Facility 281,Restaurant,Hyderabad
F0282,C0480,Facility 282,Warehouse,Bengaluru
F0283,C0123,Facility 283,Warehouse,Pune
F0284,C0327,Facility 284,Warehouse,Delhi
F0285,C0337,Facility 285,Hotel,Mumbai
F0286,C0248,Facility 286,Restaurant,Pune
F0287,C0442,Facility 287,Hotel,Hyderabad
F0288,C0056,Facility 288,Plant,Bengaluru
F0289,C0118,Facility 289,Warehouse,Hyderabad
F0290,C0127,Facility 290,Hotel,Delhi
F0291,C0068,Facility 291,Plant,Pune
F0292,C0148,Facility 292,Warehouse,Mumbai
F0293,C0157,Facility 293,Warehouse,Hyderabad
F0294,C0383,Facility 294,Hospital,Chennai
F0295,C0151,Facility 295,Hotel,Hyderabad
F0296,C0439,Facility 296,Warehouse,Bengaluru
F0297,C0387,Facility 297,Warehouse,Hyderabad
F0298,C0451,Facility 298,Restaurant,Delhi
F0299,C0053,Facility 299,Warehouse,Bengaluru
F0300,C0493,Facility 300,Hotel,Delhi
F0301,C0307,Facility 301,Plant,Chennai
F0302,C0492,Facility 302,Hotel,Mumbai
F0303,C0178,Facility 303,Warehouse,Mumbai
F0304,C0477,Facility 304,Plant,Chennai
F0305,C0295,Facility 305,Warehouse,Mumbai
F0306,C0036,Facility 306,Restaurant,Bengaluru
F0307,C0206,Facility 307,Hotel,Mumbai
F0308,C0069,Facility 308,Hotel,Hyderabad
F0309,C0471,Facility 309,Hospital,Mumbai
F0310,C0153,Facility 310,Plant,Hyderabad
F0311,C0112,Facility 311,Hotel,Delhi
F0312,C0277,Facility 312,Warehouse,Chennai
F0313,C0213,Facility 313,Hospital,Delhi
F0314,C0049,Facility 314,Restaurant,Pune
F0315,C0409,Facility 315,Hospital,Bengaluru
F0316,C0423,Facility 316,Restaurant,Mumbai
F0317,C0372,Facility 317,Restaurant,Delhi
F0318,C0309,Facility 318,Hotel,Chennai
F0319,C0202,Facility 319,Restaurant,Mumbai
F0320,C0272,Facility 320,Plant,Hyderabad
F0321,C0261,Facility 321,Warehouse,Hyderabad
F0322,C0083,Facility 322,Hospital,Bengaluru
F0323,C0041,Facility 323,Warehouse,Bengaluru
F0324,C0127,Facility 324,Warehouse,Pune
F0325,C0228,Facility 325,Warehouse,Bengaluru
F0326,C0081,Facility 326,Hospital,Bengaluru
F0327,C0054,Facility 327,Warehouse,Chennai
F0328,C0426,Facility 328,Restaurant,Delhi
F0329,C0188,Facility 329,Hotel,Chennai
F0330,C0293,Facility 330,Hospital,Pune
F0331,C0263,Facility 331,Plant,Delhi
F0332,C0368,Facility 332,Hotel,Bengaluru
F0333,C0370,Facility 333,Restaurant,Bengaluru
F0334,C0149,Facility 334,Plant,Delhi
F0335,C0424,Facility 335,Hotel,Delhi
F0336,C0186,Facility 336,Restaurant,Pune
F0337,C0418,Facility 337,Hospital,Bengaluru
F0338,C0203,Facility 338,Restaurant,Chennai
F0339,C0056,Facility 339,Hospital,Hyderabad
F0340,C0381,Facility 340,Warehouse,Mumbai
F0341,C0016,Facility 341,Hotel,Hyderabad
F0342,C0387,Facility 342,Warehouse,Delhi
F0343,C0022,Facility 343,Plant,Mumbai
F0344,C0104,Facility 344,Warehouse,Chennai
F0345,C0302,Facility 345,Warehouse,Chennai
F0346,C0471,Facility 346,Hotel,Delhi
F0347,C0205,Facility 347,Warehouse,Mumbai
F0348,C0061,Facility 348,Restaurant,Mumbai
F0349,C0117,Facility 349,Warehouse,Hyderabad
F0350,C0449,Facility 350,Warehouse,Hyderabad
F0351,C0364,Facility 351,Restaurant,Bengaluru
F0352,C0051,Facility 352,Hospital,Chennai
F0353,C0193,Facility 353,Hotel,Chennai
F0354,C0133,Facility 354,Hotel,Mumbai
F0355,C0089,Facility 355,Hospital,Chennai
F0356,C0424,Facility 356,Warehouse,Mumbai
F0357,C0309,Facility 357,Restaurant,Bengaluru
F0358,C0090,Facility 358,Restaurant,Pune
F0359,C0326,Facility 359,Hospital,Bengaluru
F0360,C0207,Facility 360,Restaurant,Delhi
F0361,C0031,Facility 361,Plant,Bengaluru
F0362,C0225,Facility 362,Warehouse,Chennai
F0363,C0093,Facility 363,Plant,Pune
F0364,C0123,Facility 364,Plant,Hyderabad
F0365,C0440,Facility 365,Warehouse,Bengaluru
F0366,C0356,Facility 366,Restaurant,Chennai
F0367,C0068,Facility 367,Warehouse,Delhi
F0368,C0426,Facility 368,Hospital,Hyderabad
F0369,C0288,Facility 369,Hotel,Pune
F0370,C0438,Facility 370,Restaurant,Bengaluru
F0371,C0374,Facility 371,Hotel,Pune
F0372,C0170,Facility 372,Hotel,Bengaluru
F0373,C0268,Facility 373,Warehouse,Pune
F0374,C0266,Facility 374,Plant,Hyderabad
F0375,C0360,Facility 375,Hospital,Mumbai
F0376,C0125,Facility 376,Warehouse,Mumbai
F0377,C0167,Facility 377,Hotel,Pune
F0378,C0123,Facility 378,Hospital,Delhi
F0379,C0149,Facility 379,Plant,Delhi
F0380,C0081,Facility 380,Hospital,Chennai
F0381,C0019,Facility 381,Plant,Pune
F0382,C0471,Facility 382,Warehouse,Bengaluru
F0383,C0038,Facility 383,Hotel,Delhi
F0384,C0444,Facility 384,Hotel,Hyderabad
F0385,C0002,Facility 385,Warehouse,Pune
F0386,C0389,Facility 386,Restaurant,Pune
F0387,C0165,Facility 387,Restaurant,Mumbai
F0388,C0259,Facility 388,Restaurant,Delhi
F0389,C0142,Facility 389,Restaurant,Mumbai
F0390,C0246,Facility 390,Plant,Delhi
F0391,C0226,Facility 391,Restaurant,Chennai
F0392,C0265,Facility 392,Hotel,Delhi
F0393,C0197,Facility 393,Plant,Chennai
F0394,C0269,Facility 394,Plant,Mumbai
F0395,C0413,Facility 395,Hotel,Chennai
F0396,C0218,Facility 396,Hospital,Mumbai
F0397,C0181,Facility 397,Plant,Mumbai
F0398,C0066,Facility 398,Plant,Mumbai
F0399,C0180,Facility 399,Hotel,Pune
F0400,C0063,Facility 400,Hotel,Pune
F0401,C0092,Facility 401,Restaurant,Mumbai
F0402,C0477,Facility 402,Restaurant,Pune
F0403,C0045,Facility 403,Warehouse,Bengaluru
F0404,C0242,Facility 404,Restaurant,Pune
F0405,C0418,Facility 405,Warehouse,Pune
F0406,C0477,Facility 406,Hospital,Delhi
F0407,C0074,Facility 407,Restaurant,Pune
F0408,C0082,Facility 408,Hotel,Pune
F0409,C0187,Facility 409,Restaurant,Pune
F0410,C0278,Facility 410,Hotel,Pune
F0411,C0480,Facility 411,Restaurant,Hyderabad
F0412,C0104,Facility 412,Hospital,Chennai
F0413,C0083,Facility 413,Hotel,Chennai
F0414,C0127,Facility 414,Hotel,Hyderabad
F0415,C0438,Facility 415,Restaurant,Pune
F0416,C0016,Facility 416,Warehouse,Chennai
F0417,C0191,Facility 417,Hotel,Pune
F0418,C0060,Facility 418,Restaurant,Hyderabad
F0419,C0079,Facility 419,Hospital,Bengaluru
F0420,C0459,Facility 420,Warehouse,Delhi
F0421,C0001,Facility 421,Restaurant,Mumbai
F0422,C0161,Facility 422,Warehouse,Hyderabad
F0423,C0458,Facility 423,Hospital,Bengaluru
F0424,C0305,Facility 424,Hotel,Hyderabad
F0425,C0036,Facility 425,Restaurant,Delhi
F0426,C0233,Facility 426,Plant,Chennai
F0427,C0486,Facility 427,Warehouse,Bengaluru
F0428,C0201,Facility 428,Warehouse,Bengaluru
F0429,C0265,Facility 429,Warehouse,Chennai
F0430,C0266,Facility 430,Plant,Bengaluru
F0431,C0331,Facility 431,Hospital,Mumbai
F0432,C0094,Facility 432,Restaurant,Bengaluru
F0433,C0420,Facility 433,Hotel,Pune
F0434,C0495,Facility 434,Restaurant,Mumbai
F0435,C0072,Facility 435,Hospital,Bengaluru
F0436,C0410,Facility 436,Hotel,Chennai
F0437,C0409,Facility 437,Hospital,Chennai
F0438,C0371,Facility 438,Restaurant,Mumbai
F0439,C0186,Facility 439,Hospital,Bengaluru
F0440,C0235,Facility 440,Warehouse,Pune
F0441,C0420,Facility 441,Restaurant,Chennai
F0442,C0077,Facility 442,Warehouse,Mumbai
F0443,C0415,Facility 443,Plant,Chennai
F0444,C0461,Facility 444,Hotel,Delhi
F0445,C0341,Facility 445,Hospital,Chennai
F0446,C0171,Facility 446,Plant,Mumbai
F0447,C0280,Facility 447,Restaurant,Delhi
F0448,C0026,Facility 448,Hospital,Chennai
F0449,C0466,Facility 449,Restaurant,Hyderabad
F0450,C0172,Facility 450,Warehouse,Delhi
F0451,C0029,Facility 451,Hospital,Delhi
F0452,C0398,Facility 452,Hotel,Pune
F0453,C0329,Facility 453,Hospital,Delhi
F0454,C0312,Facility 454,Warehouse,Chennai
F0455,C0028,Facility 455,Plant,Mumbai
F0456,C0376,Facility 456,Warehouse,Mumbai
F0457,C0319,Facility 457,Warehouse,Chennai
F0458,C0397,Facility 458,Hotel,Mumbai
F0459,C0414,Facility 459,Hospital,Bengaluru
F0460,C0106,Facility 460,Hotel,Chennai
F0461,C0106,Facility 461,Hotel,Hyderabad
F0462,C0462,Facility 462,Warehouse,Delhi
F0463,C0266,Facility 463,Warehouse,Pune
F0464,C0219,Facility 464,Hotel,Mumbai
F0465,C0144,Facility 465,Plant,Delhi
F0466,C0320,Facility 466,Restaurant,Hyderabad
F0467,C0377,Facility 467,Hotel,Mumbai
F0468,C0002,Facility 468,Warehouse,Mumbai
F0469,C0277,Facility 469,Warehouse,Bengaluru
F0470,C0497,Facility 470,Restaurant,Hyderabad
F0471,C0141,Facility 471,Plant,Mumbai
F0472,C0141,Facility 472,Hospital,Hyderabad
F0473,C0440,Facility 473,Plant,Bengaluru
F0474,C0032,Facility 474,Restaurant,Hyderabad
F0475,C0199,Facility 475,Warehouse,Pune
F0476,C0230,Facility 476,Hotel,Hyderabad
F0477,C0399,Facility 477,Hotel,Delhi
F0478,C0065,Facility 478,Warehouse,Pune
F0479,C0218,Facility 479,Hospital,Mumbai
F0480,C0077,Facility 480,Hospital,Chennai
F0481,C0394,Facility 481,Plant,Hyderabad
F0482,C0317,Facility 482,Hotel,Chennai
F0483,C0249,Facility 483,Restaurant,Hyderabad
F0484,C0197,Facility 484,Hospital,Chennai
F0485,C0077,Facility 485,Hotel,Hyderabad
F0486,C0461,Facility 486,Warehouse,Pune
F0487,C0324,Facility 487,Hotel,Chennai
F0488,C0160,Facility 488,Hotel,Bengaluru
F0489,C0207,Facility 489,Plant,Pune
F0490,C0364,Facility 490,Warehouse,Bengaluru
F0491,C0360,Facility 491,Hotel,Bengaluru
F0492,C0231,Facility 492,Plant,Pune
F0493,C0152,Facility 493,Restaurant,Delhi
F0494,C0330,Facility 494,Warehouse,Mumbai
F0495,C0330,Facility 495,Hotel,Mumbai
F0496,C0300,Facility 496,Warehouse,Bengaluru
F0497,C0037,Facility 497,Plant,Chennai
F0498,C0237,Facility 498,Warehouse,Chennai
F0499,C0307,Facility 499,Hospital,Chennai
F0500,C0476,Facility 500,Warehouse,Mumbai
F0501,C0263,Facility 501,Plant,Delhi
F0502,C0172,Facility 502,Hotel,Chennai
F0503,C0278,Facility 503,Warehouse,Bengaluru
F0504,C0089,Facility 504,Plant,Hyderabad
F0505,C0046,Facility 505,Hospital,Pune
F0506,C0340,Facility 506,Restaurant,Chennai
F0507,C0494,Facility 507,Hospital,Delhi
F0508,C0424,Facility 508,Restaurant,Bengaluru
F0509,C0292,Facility 509,Warehouse,Hyderabad
F0510,C0021,Facility 510,Warehouse,Bengaluru
F0511,C0494,Facility 511,Hospital,Pune
F0512,C0225,Facility 512,Warehouse,Hyderabad
F0513,C0145,Facility 513,Restaurant,Chennai
F0514,C0447,Facility 514,Plant,Delhi
F0515,C0374,Facility 515,Plant,Delhi
F0516,C0375,Facility 516,Restaurant,Bengaluru
F0517,C0139,Facility 517,Restaurant,Delhi
F0518,C0496,Facility 518,Restaurant,Hyderabad
F0519,C0227,Facility 519,Warehouse,Hyderabad
F0520,C0266,Facility 520,Hospital,Hyderabad
F0521,C0376,Facility 521,Hospital,Delhi
F0522,C0330,Facility 522,Hospital,Chennai
F0523,C0087,Facility 523,Hotel,Pune
F0524,C0152,Facility 524,Hospital,Pune
F0525,C0181,Facility 525,Hotel,Bengaluru
F0526,C0474,Facility 526,Hotel,Hyderabad
F0527,C0358,Facility 527,Plant,Chennai
F0528,C0184,Facility 528,Hotel,Bengaluru
F0529,C0368,Facility 529,Restaurant,Hyderabad
F0530,C0370,Facility 530,Plant,Delhi
F0531,C0198,Facility 531,Plant,Bengaluru
F0532,C0202,Facility 532,Restaurant,Bengaluru
F0533,C0448,Facility 533,Hotel,Hyderabad
F0534,C0281,Facility 534,Warehouse,Bengaluru
F0535,C0075,Facility 535,Warehouse,Delhi
F0536,C0360,Facility 536,Plant,Delhi
F0537,C0295,Facility 537,Hotel,Hyderabad
F0538,C0255,Facility 538,Hotel,Bengaluru
F0539,C0363,Facility 539,Hospital,Hyderabad
F0540,C0454,Facility 540,Hotel,Mumbai
F0541,C0166,Facility 541,Warehouse,Bengaluru
F0542,C0210,Facility 542,Hospital,Mumbai
F0543,C0095,Facility 543,Hospital,Pune
F0544,C0324,Facility 544,Warehouse,Pune
F0545,C0202,Facility 545,Warehouse,Hyderabad
F0546,C0172,Facility 546,Hospital,Pune
F0547,C0349,Facility 547,Hospital,Hyderabad
F0548,C0205,Facility 548,Restaurant,Bengaluru
F0549,C0233,Facility 549,Plant,Bengaluru
F0550,C0221,Facility 550,Warehouse,Chennai
F0551,C0130,Facility 551,Warehouse,Hyderabad
F0552,C0063,Facility 552,Warehouse,Chennai
F0553,C0414,Facility 553,Hotel,Chennai
F0554,C0046,Facility 554,Hospital,Pune
F0555,C0163,Facility 555,Restaurant,Mumbai
F0556,C0334,Facility 556,Hotel,Hyderabad
F0557,C0066,Facility 557,Hospital,Delhi
F0558,C0328,Facility 558,Hotel,Pune
F0559,C0367,Facility 559,Warehouse,Pune
