Request_ID,Customer_ID,Facility_ID,Technician_ID,Request_Date,Status,Priority
SR00092,C0053,F0634,T035,16-03-2026,Open,Medium
SR00093,C0361,F0206,T048,26-07-2026,Completed,High
SR00094,C0500,F0361,T080,04-01-2026,Cancelled,Medium
SR00095,C0382,F0378,T047,20-01-2026,Completed,Low
SR00096,C0228,F0632,T025,07-02-2026,Open,Medium
SR00097,C0158,F0279,T027,25-08-2026,Completed,High
SR00098,C0437,F0006,T062,30-04-2026,Completed,Low
SR00099,C0129,F0310,T044,07-02-2026,Completed,High
SR00100,C0242,F0231,T091,16-03-2026,Open,Medium
SR00101,C0386,F0585,T044,21-08-2026,Completed,Medium
SR00102,C0462,F0602,T057,16-06-2026,Open,Medium
SR00103,C0461,F0074,T007,23-02-2026,In Progress,Medium
SR00104,C0044,F0635,T020,27-02-2026,Completed,High
SR00105,C0450,F0057,T086,18-01-2026,Cancelled,High
SR00106,C0058,F0496,T035,05-07-2026,Completed,Low
SR00107,C0293,F0312,T043,02-02-2026,Completed,Medium
SR00108,C0465,F0242,T060,10-03-2026,Cancelled,High
SR00109,C0328,F0387,T006,25-03-2026,Open,High
SR00110,C0474,F0249,T051,30-05-2026,In Progress,Medium
SR00111,C0173,F0636,,26-05-2026,Completed,High
SR00112,C0158,F0774,T015,11-07-2026,Completed,Low
SR00113,C0164,F0653,T042,13-03-2026,Completed,Low
SR00114,C0178,F0352,T045,03-04-2026,Completed,High
SR00115,C0342,F0403,T019,04-04-2026,Completed,High
SR00116,C0227,F0358,T055,12-01-2026,Completed,High
SR00117,C0369,F0635,T075,27-06-2026,Completed,Low
SR00118,C0209,F0442,T027,09-05-2026,Open,Medium
SR00119,C0154,F0375,T097,25-04-2026,In Progress,High
SR00120,C0096,F0328,T062,27-08-2026,Open,Medium
SR00121,C0276,F0301,T078,12-02-2026,Cancelled,Medium
SR00122,C0450,F0443,T008,21-08-2026,Cancelled,Medium
SR00123,C0430,F0552,T077,13-06-2026,Completed,Medium
SR00124,C0127,F0346,T034,23-02-2026,Open,Medium
SR00125,C0239,F0646,T072,12-06-2026,Completed,Medium
SR00126,C0353,F0662,T081,01-07-2026,In Progress,High
SR00127,C0307,F0344,T026,28-03-2026,Completed,Medium
SR00128,C0034,F0728,T026,24-03-2026,In Progress,Low
SR00129,C0296,F0139,T006,20-07-2026,Completed,Low
SR00130,C0020,F0746,T061,08-02-2026,Open,Low
SR00131,C0059,F0236,T078,04-01-2026,Completed,
SR00132,C0327,F0452,T042,09-06-2026,Cancelled,Medium
SR00133,C0052,F0227,T017,06-08-2026,Completed,Low
SR00134,C0170,F0354,T032,01-05-2026,Open,Medium
SR00135,C0295,F0273,T041,02-02-2026,Cancelled,Low
SR00136,C0328,F0565,T092,10-05-2026,Completed,Medium
SR00137,C0223,F0065,T013,02-03-2026,Completed,Low
SR00138,C0048,F0671,T035,18-07-2026,Completed,Medium
SR00139,C0400,F0724,T064,27-05-2026,Completed,High
SR00140,C0475,F0451,T024,22-03-2026,Completed,High
SR00141,C0445,F0438,T089,30-05-2026,Completed,Medium
SR00142,C0375,F0560,T091,10-06-2026,Completed,High
SR00143,C0202,F0160,T039,12-06-2026,Open,High
SR00144,C0439,F0600,T075,29-03-2026,Completed,Low
SR00145,C0245,F0175,T076,17-05-2026,Open,Medium
SR00146,C0069,F0542,T069,11-01-2026,Completed,High
SR00147,C0426,F0245,T019,07-04-2026,Completed,Medium
SR00148,C0161,F0597,T005,01-04-2026,In Progress,Medium
SR00149,C0470,F0633,T035,09-05-2026,Completed,Medium
SR00150,C0185,F0167,T014,17-08-2026,Completed,Low
SR00151,C0435,F0494,T030,17-08-2026,In Progress,Critical
SR00152,C0269,F0399,T064,26-04-2026,In Progress,Low
SR00153,C0234,F0236,T059,05-06-2026,Completed,Low
SR00154,C0149,F0471,T021,26-01-2026,Cancelled,Low
SR00155,C0418,F0795,T002,26-04-2026,Completed,Medium
SR00156,C0031,F0002,T023,15-06-2026,In Progress,High
SR00157,C0235,F0766,T046,13-06-2026,Open,High
SR00158,C0185,F0685,T078,20-08-2026,Open,High
SR00159,C0272,F0424,T037,22-04-2026,Completed,Medium
SR00160,C0128,F0489,T029,06-08-2026,Cancelled,Medium
SR00161,C0333,F0296,T056,23-08-2026,Completed,Medium
SR00162,C0193,F0104,T008,18-05-2026,In Progress,Low
SR00163,C0095,F0458,T023,22-01-2026,Cancelled,High
SR00164,C0099,F0654,T004,01-04-2026,Completed,Medium
SR00165,C0349,F0185,T053,03-07-2026,In Progress,Medium
SR00166,C0131,F0574,T045,20-05-2026,Completed,Medium
SR00167,C0154,F0599,T059,13-08-2026,In Progress,High
SR00168,C0314,F0607,T062,15-07-2026,Completed,Medium
SR00169,C0165,F0273,T040,16-01-2026,Completed,High
SR00170,C0195,F0314,T087,26-07-2026,Completed,High
SR00171,C0123,F0333,T092,27-03-2026,Completed,High
SR00172,C0173,F0684,T012,16-07-2026,Cancelled,Low
SR00173,C0347,F0721,T093,02-05-2026,Completed,Low
SR00174,C0267,F0332,T020,20-04-2026,Completed,Medium
SR00175,C0499,F0776,T025,18-01-2026,Open,High
SR00176,C0386,F0457,T053,29-01-2026,Cancelled,Critical
SR00177,C0009,F0309,T003,23-05-2026,Completed,Medium
SR00178,C0190,F0001,T037,17-05-2026,In Progress,Medium
SR00179,C0145,F0489,T020,14-05-2026,Completed,Low
SR00180,C0294,F0516,T049,07-02-2026,Open,Medium
SR00181,C0133,F0775,T082,03-05-2026,In Progress,Medium
SR00182,C0484,F0575,T093,15-01-2026,Completed,Medium
SR00183,C0150,F0024,T022,04-02-2026,In Progress,High
SR00184,C0261,F0454,T055,30-04-2026,Completed,Medium
SR00185,C0062,F0595,T048,29-05-2026,In Progress,Medium
SR00186,C0455,F0398,T042,07-06-2026,Open,Low
SR00187,C0456,F0344,T064,24-08-2026,Open,Medium
SR00188,C0397,F0648,T099,24-07-2026,In Progress,High
SR00189,C0176,F0490,T041,02-04-2026,Cancelled,Medium
SR00190,C0030,F0546,T007,07-07-2026,Completed,Low
SR00191,C0356,F0372,T092,23-01-2026,Completed,Low
SR00192,C0215,F0223,T094,25-07-2026,Completed,Low
SR00193,C0496,F0416,T033,03-04-2026,Completed,High
SR00194,C0350,F0768,T051,02-07-2026,Open,Medium
SR00195,C0270,F0483,T087,21-08-2026,In Progress,Medium
SR00196,C0494,F0566,T051,18-06-2026,Completed,Medium
SR00197,C0401,F0100,T049,09-08-2026,Completed,Low
SR00198,C0230,F0791,T093,03-01-2026,Completed,Medium
SR00199,C0010,F0196,T083,10-02-2026,Completed,Low
SR00200,C0047,F0778,T051,31-05-2026,Completed,High
SR00201,C0222,F0357,T017,10-05-2026,In Progress,Low
SR00202,C0282,F0736,T044,29-01-2026,Open,Medium
SR00203,C0016,F0714,T068,22-06-2026,In Progress,Low
SR00204,C0064,F0605,T028,15-01-2026,Completed,High
SR00205,C0353,F0734,T054,26-08-2026,Cancelled,Low
SR00206,C0376,F0488,T066,07-02-2026,Cancelled,High
SR00207,C0015,F0680,T009,17-04-2026,In Progress,Low
SR00208,C0254,F0138,T057,17-07-2026,Completed,High
SR00209,C0041,F0057,T074,04-05-2026,Completed,High
SR00210,C0362,F0435,T022,28-06-2026,Completed,Medium
SR00211,C0418,F0648,T055,18-06-2026,Completed,Medium
SR00212,C0435,F0613,T071,16-08-2026,Open,Medium
SR00213,C0300,F0423,T005,22-04-2026,Open,High
SR00214,C0315,F0417,T065,23-08-2026,Cancelled,High
SR00215,C0464,F0488,T026,05-05-2026,Completed,Low
SR00216,C0307,F0695,T040,03-08-2026,Completed,Medium
SR00217,C0224,F0674,T065,25-06-2026,Completed,Medium
SR00218,C0378,F0088,T001,01-02-2026,Completed,Low
SR00219,C0296,F0477,T002,04-06-2026,Cancelled,Medium
SR00220,C0422,F0305,T045,30-07-2026,Open,Medium
SR00221,C0263,F0640,T095,31-01-2026,Open,Medium
SR00222,C0435,F0405,T001,21-07-2026,Completed,High
SR00223,C0023,F0794,T079,26-01-2026,Completed,High
SR00224,C0019,F0346,T008,29-07-2026,Open,High
SR00225,C0050,F0544,T049,09-07-2026,Open,Low
SR00226,C0279,F0087,T044,06-02-2026,In Progress,High
SR00227,C0355,F0746,T047,24-06-2026,In Progress,Medium
SR00228,C0109,F0123,T009,29-01-2026,Open,Medium
SR00229,C0078,F0303,T076,17-05-2026,In Progress,Low
SR00230,C0431,F0671,T028,10-08-2026,Completed,High
SR00231,C0376,F0774,T078,19-02-2026,Completed,Medium
SR00232,C0325,F0388,T066,11-02-2026,Completed,High
SR00233,C0245,F0388,T056,12-04-2026,Completed,High
SR00234,C0211,F0039,T031,30-03-2026,In Progress,High
SR00235,C0011,F0784,T066,12-01-2026,Cancelled,High
SR00236,C0095,F0014,T100,20-04-2026,Completed,High
SR00237,C0449,F0021,T093,04-03-2026,Completed,Medium
SR00238,C0170,F0379,T092,30-01-2026,In Progress,Medium
SR00239,C0353,F0003,T022,08-03-2026,In Progress,High
SR00240,C0352,F0132,T059,05-01-2026,Completed,Medium
SR00241,C0155,F0503,T040,08-08-2026,Completed,Medium
SR00242,C0103,F0565,T097,27-08-2026,Open,High
SR00243,C0346,F0239,T096,30-03-2026,Cancelled,Medium
SR00244,C0047,F0637,T087,30-07-2026,Completed,High
SR00245,C0248,F0487,T017,21-04-2026,Completed,Medium
SR00246,C0445,F0183,T032,07-08-2026,In Progress,High
SR00247,C0356,F0570,T072,11-02-2026,Completed,Low
SR00248,C0383,F0474,T075,10-03-2026,Completed,Medium
SR00249,C0042,F0650,T036,27-06-2026,Open,High
SR00250,C0100,F0124,T014,22-02-2026,Completed,Medium
SR00251,C0138,F0185,T014,17-07-2026,Completed,Medium
SR00252,C0147,F0243,T069,13-04-2026,Completed,Medium
SR00253,C0098,F0274,T046,07-04-2026,In Progress,Medium
SR00254,C0487,F0712,T050,19-04-2026,Completed,Medium
SR00255,C0083,F0587,T082,11-07-2026,Completed,Low
SR00256,C0355,F0436,T002,02-01-2026,Open,High
SR00257,C0294,F0433,T076,30-06-2026,Open,Medium
SR00258,C0306,F0709,T028,07-07-2026,In Progress,Medium
SR00259,C0108,F0358,T094,17-07-2026,In Progress,Medium
SR00260,C0154,F0181,T096,28-08-2026,Completed,Low
SR00261,C0304,F0110,T051,07-07-2026,Completed,Low
SR00262,C0150,F0265,T032,07-05-2026,In Progress,Critical
SR00263,C0348,F0523,T024,22-04-2026,Cancelled,High
SR00264,C0020,F0377,T019,04-04-2026,In Progress,Low
SR00265,C0037,F0338,T100,18-07-2026,Completed,High
SR00266,C0365,F0385,T019,05-04-2026,Cancelled,Medium
SR00267,C0309,F0780,T045,18-05-2026,Completed,Low
SR00268,C0022,F0799,T048,24-01-2026,Completed,High
SR00269,C0450,F0130,T068,18-03-2026,Completed,Medium
SR00270,C0003,F0092,T085,05-03-2026,Open,Medium
SR00271,C0478,F0196,T056,15-04-2026,Open,High
SR00272,C0365,F0682,T076,01-05-2026,Completed,Medium
SR00273,C0495,F0368,T057,21-06-2026,Open,Medium
SR00274,C0475,F0691,T044,14-04-2026,Completed,Medium
SR00275,C0157,F0518,T016,06-02-2026,In Progress,High
SR00276,C0379,F0443,T021,11-05-2026,Cancelled,High
SR00277,C0106,F0226,T044,14-01-2026,Completed,High
SR00278,C0236,F0276,T005,23-07-2026,Completed,Medium
SR00279,C0121,F0119,T032,04-07-2026,Completed,High
SR00280,C0244,F0416,T047,24-02-2026,In Progress,Medium
SR00281,C0437,F0225,T048,05-03-2026,Open,Medium
SR00282,C0219,F0234,T082,07-01-2026,Completed,Low
SR00283,C0047,F0032,T097,29-03-2026,Completed,High
SR00284,C0163,F0640,T073,10-01-2026,Completed,Medium
SR00285,C0394,F0752,T008,13-08-2026,Completed,Medium
SR00286,C0261,F0399,T041,02-02-2026,Completed,Medium
SR00287,C0281,F0429,T073,08-06-2026,In Progress,Low
SR00288,C0216,F0741,T060,17-05-2026,In Progress,Critical
SR00289,C0147,F0410,T046,26-02-2026,Completed,High
SR00290,C0300,F0499,T044,13-07-2026,Completed,Medium
SR00291,C0317,F0343,T041,27-01-2026,Cancelled,High
SR00292,C0450,F0412,T058,01-08-2026,Completed,Medium
SR00293,C0309,F0418,T018,27-06-2026,Completed,High
SR00294,C0498,F0569,T052,02-06-2026,Completed,Low
SR00295,C0414,F0484,T021,31-07-2026,Open,Medium
SR00296,C0040,F0404,T069,07-04-2026,Completed,Medium
SR00297,C0197,F0061,T087,09-03-2026,Completed,Medium
SR00298,C0193,F0724,T051,07-02-2026,Completed,Medium
SR00299,C0002,F0711,T039,10-08-2026,Open,Low
SR00300,C0091,F0148,T095,07-04-2026,Cancelled,Critical
SR00301,C0382,F0235,T066,19-07-2026,Cancelled,Low
SR00302,C0177,F0779,T043,21-03-2026,Open,Low
SR00303,C0074,F0257,T003,18-08-2026,In Progress,Medium
SR00304,C0144,F0650,T002,28-07-2026,In Progress,Medium
SR00305,C0138,F0629,T023,15-03-2026,Completed,Low
SR00306,C0088,F0689,T024,27-04-2026,Completed,Medium
SR00307,C0051,F0013,T073,10-07-2026,In Progress,High
SR00308,C0383,F0387,T051,24-02-2026,Completed,Low
SR00309,C0413,F0453,T100,06-01-2026,Completed,Critical
SR00310,C0249,F0670,T055,11-03-2026,Completed,Medium
SR00311,C0308,F0180,T091,22-05-2026,Completed,Medium
SR00312,C0460,F0246,T056,02-02-2026,Completed,Low
SR00313,C0422,F0144,T036,22-03-2026,Completed,High
SR00314,C0017,F0610,T072,09-08-2026,In Progress,High
SR00315,C0477,F0800,T045,19-01-2026,Completed,Low
SR00316,C0034,F0113,T028,13-01-2026,Cancelled,Low
SR00317,C0014,F0187,T048,12-04-2026,Completed,Medium
SR00318,C0202,F0246,T067,04-01-2026,Cancelled,Low
SR00319,C0373,F0712,T038,07-01-2026,Completed,Critical
SR00320,C0041,F0357,T071,13-02-2026,Completed,Medium
SR00321,C0147,F0226,T099,25-01-2026,In Progress,Medium
SR00322,C0132,F0258,T042,14-07-2026,Completed,Critical
SR00323,C0199,F0479,T030,30-01-2026,In Progress,High
SR00324,C0494,F0310,T041,06-05-2026,Open,High
SR00325,C0166,F0113,T084,19-06-2026,In Progress,Medium
SR00326,C0105,F0657,T018,31-05-2026,Open,Medium
SR00327,C0062,F0338,T098,06-06-2026,Cancelled,Medium
SR00328,C0100,F0206,T042,27-03-2026,Cancelled,Medium
SR00329,C0067,F0583,T085,02-08-2026,Completed,Medium
SR00330,C0287,F0597,T079,17-01-2026,Open,Low
SR00331,C0211,F0125,T079,26-01-2026,Completed,Medium
SR00332,C0249,F0059,T091,25-07-2026,Completed,Medium
SR00333,C0417,F0037,T019,17-01-2026,In Progress,Medium
SR00334,C0291,F0613,T060,16-02-2026,Completed,Low
SR00335,C0078,F0501,T010,11-02-2026,Completed,Medium
SR00336,C0189,F0634,T030,08-01-2026,Open,Medium
SR00337,C0157,F0502,T005,29-01-2026,Completed,High
SR00338,C0414,F0322,T069,18-05-2026,Completed,High
SR00339,C0154,F0472,T061,08-06-2026,In Progress,Medium
SR00340,C0070,F0578,T075,20-01-2026,Completed,Low
SR00341,C0369,F0320,T018,15-08-2026,Completed,Medium
SR00342,C0215,F0733,T034,23-01-2026,Completed,Low
SR00343,C0048,F0720,T068,14-06-2026,Cancelled,Medium
SR00344,C0345,F0641,T083,12-07-2026,Completed,Critical
SR00345,C0106,F0794,T089,05-05-2026,Completed,Low
SR00346,C0435,F0313,T008,28-04-2026,Completed,Medium
SR00347,C0417,F0092,T041,27-01-2026,Completed,High
SR00348,C0185,F0388,T002,27-02-2026,Completed,Medium
SR00349,C0278,F0597,T082,24-07-2026,Open,Low
SR00350,C0284,F0624,T013,25-03-2026,Completed,Low
SR00351,C0327,F0311,T083,09-01-2026,Completed,High
SR00352,C0035,F0235,T016,25-06-2026,Completed,Low
SR00353,C0163,F0357,T002,14-06-2026,Completed,Medium
SR00354,C0086,F0644,T088,16-01-2026,Completed,High
SR00355,C0349,F0049,T044,13-01-2026,Completed,Medium
SR00356,C0035,F0263,T043,28-01-2026,Open,High
SR00357,C0259,F0184,T065,13-01-2026,Open,Low
SR00358,C0364,F0645,T028,28-05-2026,Completed,Medium
SR00359,C0475,F0376,T070,01-02-2026,Completed,Medium
SR00360,C0145,F0070,T043,26-05-2026,In Progress,Critical
SR00361,C0004,F0210,T028,12-02-2026,In Progress,Medium
SR00362,C0362,F0036,T040,22-08-2026,In Progress,Low
SR00363,C0001,F0381,T001,24-06-2026,Completed,High
SR00364,C0034,F0799,T031,31-03-2026,Completed,Low
SR00365,C0496,F0454,T060,13-04-2026,Completed,High
SR00366,C0432,F0696,T014,16-01-2026,In Progress,High
SR00367,C0354,F0595,T012,14-01-2026,Open,Medium
SR00368,C0418,F0707,T066,10-05-2026,Open,High
SR00369,C0038,F0249,T043,06-01-2026,Completed,High
SR00370,C0045,F0762,T014,03-06-2026,Open,Low
SR00371,C0151,F0191,T075,02-04-2026,In Progress,Critical
SR00372,C0012,F0351,T078,03-02-2026,Cancelled,High
SR00373,C0445,F0546,T004,09-05-2026,Completed,High
SR00374,C0029,F0230,T021,13-05-2026,Completed,Medium
SR00375,C0273,F0212,T038,29-06-2026,Open,Medium
SR00376,C0427,F0105,T074,17-02-2026,In Progress,Medium
SR00377,C0368,F0004,T008,12-05-2026,Cancelled,Low
SR00378,C0118,F0401,T081,22-07-2026,Completed,Medium
SR00379,C0236,F0790,T032,06-03-2026,Completed,Medium
SR00380,C0275,F0177,T013,20-07-2026,Cancelled,High
SR00381,C0384,F0353,T087,23-06-2026,Completed,Medium
SR00382,C0214,F0749,T009,14-04-2026,In Progress,Medium
SR00383,C0143,F0618,T013,31-07-2026,Completed,Medium
SR00384,C0398,F0004,T095,21-08-2026,Open,Medium
SR00385,C0444,F0401,T052,26-02-2026,Open,Critical
SR00386,C0245,F0115,T047,24-08-2026,Open,High
SR00387,C0015,F0198,T069,01-01-2026,Completed,Low
SR00388,C0251,F0198,T064,01-02-2026,Completed,Low
SR00389,C0445,F0490,T062,11-01-2026,In Progress,High
SR00390,C0495,F0160,T003,30-03-2026,In Progress,Medium
SR00391,C0201,F0202,T056,13-08-2026,Completed,High
SR00392,C0076,F0181,T028,25-05-2026,Cancelled,Low
SR00393,C0287,F0286,T081,28-05-2026,In Progress,Low
SR00394,C0416,F0525,T051,21-01-2026,In Progress,Medium
SR00395,C0473,F0320,T013,04-05-2026,Completed,High
SR00396,C0026,F0263,T089,02-04-2026,Completed,Critical
SR00397,C0146,F0415,T029,26-04-2026,Cancelled,High
SR00398,C0239,F0493,T028,04-03-2026,In Progress,Medium
SR00399,C0050,F0013,T094,18-02-2026,Open,High
SR00400,C0444,F0713,T078,17-08-2026,Completed,Low
SR00401,C0057,F0734,T086,15-05-2026,In Progress,Medium
SR00402,C0333,F0483,T067,09-04-2026,Completed,High
SR00403,C0460,F0460,T092,18-01-2026,Open,Medium
SR00404,C0343,F0556,T012,03-07-2026,Completed,Critical
SR00405,C0382,F0353,T060,24-04-2026,Cancelled,Medium
SR00406,C0132,F0293,T030,03-04-2026,Cancelled,Low
SR00407,C0414,F0283,T040,10-06-2026,Completed,Medium
SR00408,C0210,F0128,T024,01-02-2026,Cancelled,High
SR00409,C0031,F0673,T021,08-05-2026,Open,Medium
SR00410,C0184,F0257,T045,27-07-2026,Completed,High
SR00411,C0175,F0228,T092,22-04-2026,Open,Low
SR00412,C0261,F0772,T064,01-01-2026,Cancelled,High
SR00413,C0133,F0406,T035,25-02-2026,Cancelled,Medium
SR00414,C0232,F0498,T044,14-01-2026,Open,Low
SR00415,C0214,F0197,T053,01-05-2026,Open,High
SR00416,C0164,F0223,T025,29-03-2026,Completed,High
SR00417,C0349,F0583,T053,01-02-2026,In Progress,Medium
SR00418,C0153,F0361,T070,14-06-2026,Completed,Medium
SR00419,C0383,F0119,T025,12-02-2026,In Progress,Low
SR00420,C0126,F0669,T059,24-03-2026,Completed,Critical
SR00421,C0433,F0323,T071,26-08-2026,Completed,High
SR00422,C0183,F0535,T052,16-01-2026,Completed,High
SR00423,C0021,F0274,T030,01-03-2026,Open,High
SR00424,C0075,F0449,T056,18-03-2026,Cancelled,High
SR00425,C0404,F0621,T080,03-05-2026,Completed,Low
SR00426,C0437,F0709,T023,28-02-2026,Completed,Medium
SR00427,C0106,F0166,T058,21-08-2026,Completed,High
SR00428,C0302,F0538,T069,02-01-2026,Cancelled,Low
SR00429,C0288,F0732,T033,16-08-2026,Completed,Low
SR00430,C0067,F0515,T039,09-05-2026,Completed,Medium
SR00431,C0226,F0115,T089,10-01-2026,Completed,High
SR00432,C0347,F0152,T037,28-01-2026,Completed,High
SR00433,C0484,F0163,T060,25-01-2026,In Progress,Low
SR00434,C0424,F0086,T015,10-03-2026,Completed,Critical
SR00435,C0049,F0603,T093,21-03-2026,Completed,Low
SR00436,C0119,F0773,T060,03-06-2026,Completed,Medium
SR00437,C0219,F0414,T077,16-03-2026,Cancelled,Critical
SR00438,C0076,F0480,T061,24-06-2026,Cancelled,High
SR00439,C0286,F0619,T036,12-03-2026,Completed,High
SR00440,C0005,F0333,T035,05-03-2026,Completed,High
SR00441,C0057,F0378,T071,08-03-2026,Completed,High
SR00442,C0024,F0472,T086,21-03-2026,Cancelled,Medium
SR00443,C0148,F0244,T013,21-07-2026,Completed,Medium
SR00444,C0382,F0050,T085,01-03-2026,Open,High
SR00445,C0089,F0455,T084,07-03-2026,In Progress,High
SR00446,C0494,F0658,T011,18-08-2026,Completed,Medium
SR00447,C0135,F0059,T011,06-06-2026,Completed,Medium
SR00448,C0023,F0174,T070,15-02-2026,Completed,Medium
SR00449,C0168,F0211,T085,28-07-2026,Completed,Medium
SR00450,C0375,F0644,T040,13-02-2026,Completed,High
SR00451,C0054,F0404,T065,08-02-2026,Completed,Low
SR00452,C0036,F0428,T100,17-04-2026,Completed,Medium
SR00453,C0425,F0517,T033,15-06-2026,In Progress,High
SR00454,C0297,F0222,T023,15-02-2026,Completed,Medium
SR00455,C0172,F0571,T100,30-06-2026,Completed,Medium
SR00456,C0379,F0025,T029,07-02-2026,Completed,Medium
SR00457,C0423,F0091,T048,07-07-2026,In Progress,Low
